연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상
2016,10대(남),1428,104,12,3,0,0,1
2016,10대(여),79,1,0,0,0,0,0
2016,20대(남),28039,5941,1240,200,48,13,31
2016,20대(여),3134,334,45,7,0,0,0
2016,30대(남),31272,16218,6769,2398,794,248,130
2016,30대(여),5696,1298,341,76,14,7,1
2016,40대(남),23997,16538,8716,3717,1456,575,417
2016,40대(여),5845,1824,569,155,43,12,11
2016,50대(남),15354,11330,6183,3112,1410,577,405
2016,50대(여),2125,833,311,86,25,11,3
2016,60대(남),4573,2747,1472,664,311,141,100
2016,60대(여),206,88,40,8,1,0,2
2016,70대 이상(남),971,403,157,68,29,15,10
2016,70대 이상(여),11,4,1,0,0,0,0
2016,불상,3006,3,0,0,0,0,6
