,연도,나이(성별),1회,2회,3회,4회,5회,6회,7회 이상,총합,성별총합,연도2,10대,20대,30대,40대,50대,60대,70대이상,불상,연령총합,연령총합(불상포함)
0,2010,10대(남),1672,89,5,0,0,0,0,1766,1878,2010,1878,58888,92381,93491,43579,8835,1168,2487,300220,302707
1,2010,10대(여),105,7,0,0,0,0,0,112,,2011,1670,48005,79458,78972,40415,7730,1156,807,257406,258213
2,2010,20대(남),39069,10670,2643,507,107,14,10,53020,58888,2012,1721,44597,75566,74935,40172,8008,1274,10,246273,246283
3,2010,20대(여),5078,667,102,18,3,0,0,5868,,2013,1655,46038,83102,81004,46604,8921,1527,985,268851,269836
4,2010,30대(남),45751,23993,9041,2669,756,186,73,82469,92381,2014,1731,41598,75674,75180,45237,9589,1583,1193,250592,251785
5,2010,30대(여),7582,1816,411,84,17,2,0,9912,,2015,1886,40267,70870,70954,45232,10987,1724,1180,241920,243100
6,2010,40대(남),41978,24773,10817,3816,1283,399,205,83271,93491,2016,1628,39032,65262,63875,41765,10353,1669,3015,223584,226599
7,2010,40대(여),7236,2195,617,137,30,5,0,10220,,2017,1343,37699,57526,55276,37963,10696,1741,2943,202244,205187
8,2010,50대(남),20522,12015,5353,2091,782,257,164,41184,43579,2018,818,29959,44472,42623,31411,9592,1708,2477,160583,163060
9,2010,50대(여),1618,552,167,43,12,1,2,2395,,2019,274,25388,34434,32123,24911,8447,1578,3617,127155,130772
10,2010,60대(남),5066,2276,859,318,118,38,21,8696,8835,2020,,21301,27979,28700,24592,9713,1680,3584,113965,117549
11,2010,60대(여),94,32,9,2,1,0,1,139,,2021,,20704,26917,28178,24220,10348,1735,3780,112102,115882
12,2010,70대 이상(남),830,229,78,20,9,1,0,1167,1168,,,,,,,,,,,
13,2010,70대 이상(여),1,0,0,0,0,0,0,1,,,,,,,,,,,,
14,2011,10대(남),1490,63,7,2,1,0,0,1563,1670,,,,,,,,,,,
15,2011,10대(여),105,2,0,0,0,0,0,107,,,,,,,,,,,,
16,2011,20대(남),32719,8242,1963,425,108,14,5,43476,48005,,,,,,,,,,,
17,2011,20대(여),4002,446,69,9,3,0,0,4529,,,,,,,,,,,,
18,2011,30대(남),39475,20559,7671,2398,704,192,72,71071,79458,,,,,,,,,,,
19,2011,30대(여),6404,1531,362,76,12,2,0,8387,,,,,,,,,,,,
20,2011,40대(남),35072,20679,9305,3367,1199,346,194,70162,78972,,,,,,,,,,,
21,2011,40대(여),6225,1875,541,122,33,11,3,8810,,,,,,,,,,,,
22,2011,50대(남),18413,10994,5170,2138,828,313,169,38025,40415,,,,,,,,,,,
23,2011,50대(여),1583,578,166,44,14,5,0,2390,,,,,,,,,,,,
24,2011,60대(남),4303,1970,826,310,104,43,34,7590,7730,,,,,,,,,,,
25,2011,60대(여),95,24,18,2,1,0,0,140,,,,,,,,,,,,
26,2011,70대 이상(남),800,232,74,31,9,3,4,1153,1156,,,,,,,,,,,
27,2011,70대 이상(여),3,0,0,0,0,0,0,3,,,,,,,,,,,,
28,2012,10대(남),1530,79,1,0,2,1,0,1613,1721,,,,,,,,,,,
29,2012,10대(여),105,3,0,0,0,0,0,108,,,,,,,,,,,,
30,2012,20대(남),30839,7377,1718,350,88,22,4,40398,44597,,,,,,,,,,,
31,2012,20대(여),3684,452,56,6,1,0,0,4199,,,,,,,,,,,,
32,2012,30대(남),37343,19320,7462,2417,757,223,74,67596,75566,,,,,,,,,,,
33,2012,30대(여),6110,1437,329,74,18,2,0,7970,,,,,,,,,,,,
34,2012,40대(남),32730,19316,8878,3444,1248,419,195,66230,74935,,,,,,,,,,,
35,2012,40대(여),6138,1853,550,127,27,10,0,8705,,,,,,,,,,,,
36,2012,50대(남),17491,11085,5328,2230,875,344,209,37562,40172,,,,,,,,,,,
37,2012,50대(여),1731,608,203,53,10,5,0,2610,,,,,,,,,,,,
38,2012,60대(남),4163,2120,975,360,138,55,33,7844,8008,,,,,,,,,,,
39,2012,60대(여),97,47,16,4,0,0,0,164,,,,,,,,,,,,
40,2012,70대 이상(남),834,292,90,29,15,4,3,1267,1274,,,,,,,,,,,
41,2012,70대 이상(여),5,1,1,0,0,0,0,7,,,,,,,,,,,,
42,2013,10대(남),1489,75,3,0,1,0,0,1568,1655,,,,,,,,,,,
43,2013,10대(여),84,3,0,0,0,0,0,87,,,,,,,,,,,,
44,2013,20대(남),32261,7246,1698,330,63,14,4,41616,46038,,,,,,,,,,,
45,2013,20대(여),3932,417,66,6,0,1,0,4422,,,,,,,,,,,,
46,2013,30대(남),41104,20910,8314,2670,825,249,108,74180,83102,,,,,,,,,,,
47,2013,30대(여),6855,1573,379,89,18,8,0,8922,,,,,,,,,,,,
48,2013,40대(남),34049,21244,9942,3800,1438,502,234,71209,81004,,,,,,,,,,,
49,2013,40대(여),6881,2084,617,163,38,9,3,9795,,,,,,,,,,,,
50,2013,50대(남),19800,12656,6345,2754,1126,429,313,43423,46604,,,,,,,,,,,
51,2013,50대(여),2069,742,272,77,15,4,2,3181,,,,,,,,,,,,
52,2013,60대(남),4421,2462,1102,441,176,62,51,8715,8921,,,,,,,,,,,
53,2013,60대(여),129,52,18,5,1,1,0,206,,,,,,,,,,,,
54,2013,70대 이상(남),935,399,106,56,17,5,4,1522,1527,,,,,,,,,,,
55,2013,70대 이상(여),5,0,0,0,0,0,0,5,,,,,,,,,,,,
56,2014,10대(남),1564,75,6,0,0,0,0,1645,1731,,,,,,,,,,,
57,2014,10대(여),84,2,0,0,0,0,0,86,,,,,,,,,,,,
58,2014,20대(남),29616,6286,1451,253,55,18,39,37718,41598,,,,,,,,,,,
59,2014,20대(여),3485,335,51,8,1,0,0,3880,,,,,,,,,,,,
60,2014,30대(남),37050,18984,7841,2494,794,230,100,67493,75674,,,,,,,,,,,
61,2014,30대(여),6259,1475,360,68,13,2,4,8181,,,,,,,,,,,,
62,2014,40대(남),30272,19531,9703,3860,1409,528,262,65565,75180,,,,,,,,,,,
63,2014,40대(여),6775,2054,586,134,38,5,23,9615,,,,,,,,,,,,
64,2014,50대(남),18128,12237,6458,3001,1222,494,308,41848,45237,,,,,,,,,,,
65,2014,50대(여),2171,801,298,89,23,6,1,3389,,,,,,,,,,,,
66,2014,60대(남),4523,2594,1287,566,198,101,78,9347,9589,,,,,,,,,,,
67,2014,60대(여),160,53,21,8,0,0,0,242,,,,,,,,,,,,
68,2014,70대 이상(남),982,383,121,53,22,10,6,1577,1583,,,,,,,,,,,
69,2014,70대 이상(여),4,2,0,0,0,0,0,6,,,,,,,,,,,,
70,2015,10대(남),1675,109,6,1,0,0,1,1792,1886,,,,,,,,,,,
71,2015,10대(여),94,0,0,0,0,0,0,94,,,,,,,,,,,,
72,2015,20대(남),28602,6221,1301,273,39,8,4,36448,40267,,,,,,,,,,,
73,2015,20대(여),3429,343,42,4,1,0,0,3819,,,,,,,,,,,,
74,2015,30대(남),34344,17744,7303,2446,768,236,98,62939,70870,,,,,,,,,,,
75,2015,30대(여),6136,1389,327,58,19,2,0,7931,,,,,,,,,,,,
76,2015,40대(남),27510,18464,9309,3875,1551,563,300,61572,70954,,,,,,,,,,,
77,2015,40대(여),6449,2091,628,166,36,9,3,9382,,,,,,,,,,,,
78,2015,50대(남),17400,12160,6644,3173,1367,592,389,41725,45232,,,,,,,,,,,
79,2015,50대(여),2167,909,317,79,26,8,1,3507,,,,,,,,,,,,
80,2015,60대(남),4887,3053,1488,670,336,124,84,10642,10987,,,,,,,,,,,
81,2015,60대(여),231,77,27,6,4,0,0,345,,,,,,,,,,,,
82,2015,70대 이상(남),991,458,158,59,24,14,9,1713,1724,,,,,,,,,,,
83,2015,70대 이상(여),9,0,2,0,0,0,0,11,,,,,,,,,,,,
84,2016,10대(남),1428,104,12,3,0,0,1,1548,1628,,,,,,,,,,,
85,2016,10대(여),79,1,0,0,0,0,0,80,,,,,,,,,,,,
86,2016,20대(남),28039,5941,1240,200,48,13,31,35512,39032,,,,,,,,,,,
87,2016,20대(여),3134,334,45,7,0,0,0,3520,,,,,,,,,,,,
88,2016,30대(남),31272,16218,6769,2398,794,248,130,57829,65262,,,,,,,,,,,
