,사고지역관리번호,사고연도,사고유형구분,위치코드,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,위도,경도
0,2013098,2012,보행노인,11470002,서울특별시 양천구2,서울특별시 양천구 신정동(신정3평화은행 부근),3,4,1,2,1,0,37.51735244,126.8535534
1,2013098,2012,보행노인,11500001,서울특별시 강서구1,서울특별시 강서구 화곡동(홍익병원앞_등촌로_진입_1 부근),3,3,0,1,2,0,37.53066506,126.8638752
2,2013098,2012,보행노인,11500002,서울특별시 강서구2,서울특별시 강서구 화곡동(강서구청입구 부근),3,3,0,2,1,0,37.55611254,126.8524095
3,2013098,2012,보행노인,11500003,서울특별시 강서구3,서울특별시 강서구 화곡동(화곡사거리 부근),4,4,0,2,2,0,37.53071507,126.8472849
4,2013098,2012,보행노인,11500004,서울특별시 강서구4,서울특별시 강서구 염창동(태진빌딩 부근),4,4,0,2,2,0,37.54696806,126.8760467
5,2013098,2012,보행노인,11500005,서울특별시 강서구5,서울특별시 강서구 내발산동(우장산역 부근),5,6,0,3,3,0,37.54813679,126.8347136
6,2013098,2012,보행노인,11380003,서울특별시 은평구3,서울특별시 은평구 불광동(불광동라비앙프라자 부근),3,3,1,0,2,0,37.61257381,126.9320467
7,2013098,2012,보행노인,11380004,서울특별시 은평구4,서울특별시 은평구 증산동(청솔식당 부근),3,3,1,2,0,0,37.57901618,126.9008894
8,2013098,2012,보행노인,11380005,서울특별시 은평구5,서울특별시 은평구 녹번동(선학수련원 부근),4,4,0,0,3,1,37.60163346,126.9285366
9,2013098,2012,보행노인,11380006,서울특별시 은평구6,서울특별시 은평구 신사동(신사사거리 부근),4,5,0,1,3,1,37.5961848,126.9088059
10,2013098,2012,보행노인,11380007,서울특별시 은평구7,서울특별시 은평구 대조동(역촌사거리 부근),4,4,0,2,2,0,37.6084625,126.9198475
11,2013098,2012,보행노인,11380008,서울특별시 은평구8,서울특별시 은평구 불광동(지현한방병원 부근),4,5,0,2,2,1,37.62542943,126.92014
12,2013098,2012,보행노인,11380009,서울특별시 은평구9,서울특별시 은평구 불광동(연천초교길-연서로진입로 부근),4,4,0,3,1,0,37.62146747,126.92609
13,2013098,2012,보행노인,11380010,서울특별시 은평구10,서울특별시 은평구 대조동(대조.불광시장 부근),5,8,0,5,3,0,37.6086826,126.9266134
14,2013098,2012,보행노인,11380011,서울특별시 은평구11,서울특별시 은평구 불광동(불광전화국앞 부근),5,7,1,4,1,1,37.61259233,126.9282919
15,2013098,2012,보행노인,11380012,서울특별시 은평구12,서울특별시 은평구 대조동(신한은행연신내지점 부근),7,9,1,2,6,0,37.61928565,126.9212464
16,2013098,2012,보행노인,11410001,서울특별시 서대문구1,서울특별시 서대문구 홍제동(충만한교회 부근),3,3,0,2,1,0,37.5935531,126.947674
17,2013098,2012,보행노인,11410002,서울특별시 서대문구2,서울특별시 서대문구 남가좌동(중암교사거리 부근),3,3,0,2,1,0,37.57282051,126.9220593
18,2013098,2012,보행노인,11410003,서울특별시 서대문구3,서울특별시 서대문구 홍은동(홍은사거리_의주로_진출 부근),5,5,0,4,1,0,37.59124218,126.941809
19,2013098,2012,보행노인,11410004,서울특별시 서대문구4,서울특별시 서대문구 창천동(신촌로터리_일반국도6호선_진출_ 부근),5,5,0,5,0,0,37.55545917,126.9357684
20,2013098,2012,보행노인,11440001,서울특별시 마포구1,서울특별시 마포구 아현동(굴레방다리_일반국도6호선_진출 부근),3,3,2,1,0,0,37.55768936,126.9557461
21,2013098,2012,보행노인,11440002,서울특별시 마포구2,서울특별시 마포구 신수동(우마카서비스 부근),4,4,0,4,0,0,37.55031855,126.9324304
22,2013098,2012,보행노인,11305003,서울특별시 강북구3,서울특별시 강북구 미아동(방천시장입구 부근),7,7,0,5,2,0,37.61222277,127.0347051
23,2013098,2012,보행노인,11320001,서울특별시 도봉구1,서울특별시 도봉구 방학동(LG대경주유소 부근),3,3,0,1,2,0,37.66530523,127.042843
24,2013098,2012,보행노인,11320002,서울특별시 도봉구2,서울특별시 도봉구 창동(창동역서측 부근),3,3,0,2,1,0,37.65377138,127.0461128
25,2013098,2012,보행노인,11320003,서울특별시 도봉구3,서울특별시 도봉구 쌍문동(숭미초교 부근),3,3,0,2,1,0,37.65039312,127.0278802
26,2013098,2012,보행노인,11320004,서울특별시 도봉구4,서울특별시 도봉구 도봉동(온누리도봉약국 부근),3,3,0,3,0,0,37.67679876,127.0448719
27,2013098,2012,보행노인,11320005,서울특별시 도봉구5,서울특별시 도봉구 창동(창원초교 부근),3,3,0,3,0,0,37.65230415,127.0413923
28,2013098,2012,보행노인,11320006,서울특별시 도봉구6,서울특별시 도봉구 방학동(아람미술놀이방 부근),4,4,0,3,1,0,37.6689518,127.0332732
29,2013098,2012,보행노인,11320007,서울특별시 도봉구7,서울특별시 도봉구 방학동(동부센트리빌아파트 부근),6,6,1,4,1,0,37.66286357,127.0400351
30,2013098,2012,보행노인,11350001,서울특별시 노원구1,서울특별시 노원구 하계동(한성여객(주) 부근),3,3,0,0,3,0,37.63790898,127.0714619
31,2013098,2012,보행노인,11350002,서울특별시 노원구2,서울특별시 노원구 월계동(월계4동사무소앞 부근),3,3,0,2,1,0,37.63170214,127.0611846
32,2013098,2012,보행노인,11350003,서울특별시 노원구3,서울특별시 노원구 공릉동(공릉역 부근),3,3,0,2,1,0,37.62513844,127.0731473
33,2013098,2012,보행노인,11350004,서울특별시 노원구4,서울특별시 노원구 상계동(상계초교입구 부근),4,4,0,1,3,0,37.6571255,127.0666087
34,2013098,2012,보행노인,11350005,서울특별시 노원구5,서울특별시 노원구 상계동(상계벽산아파트101동 부근),4,4,0,3,1,0,37.65941766,127.0717682
