,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
0,1111017500,11110001,서울특별시 종로구1,서울특별시 종로구 숭인동(신설동역교차로 부근),3,4,0,4,0,0,127.0231216,37.57543323
1,1114014300,11140001,서울특별시 중구1,서울특별시 중구 장충동1가(장충체육관앞 부근),3,5,0,3,2,0,127.0057856,37.55967847
2,1114016200,11140002,서울특별시 중구2,서울특별시 중구 신당동(약수역서울3호선 부근),3,5,0,3,2,0,127.0108062,37.55375048
3,1117012800,11170001,서울특별시 용산구1,서울특별시 용산구 한강로3가(한강대교북측 부근),3,9,0,4,5,0,126.96099,37.52252711
4,1120011400,11200001,서울특별시 성동구1,서울특별시 성동구 성수동1가(성수대교 부근),4,12,0,7,5,0,127.0362294,37.54357767
5,1120011400,11200002,서울특별시 성동구2,서울특별시 성동구 성수동1가(성동교사거리 부근),4,8,0,4,4,0,127.0441038,37.5517205
6,1120010700,11200003,서울특별시 성동구3,서울특별시 성동구 행당동(왕십리역2번출구 부근),3,4,0,3,1,0,127.0354372,37.56178184
7,1121510500,11215001,서울특별시 광진구1,서울특별시 광진구 자양동(영동대교북측 부근),3,9,0,5,4,0,127.0602844,37.53393507
8,1121510100,11215002,서울특별시 광진구2,서울특별시 광진구 중곡동(군자역사거리 부근),3,5,0,4,1,0,127.0793959,37.55707933
9,1121510900,11215003,서울특별시 광진구3,서울특별시 광진구 군자동(중곡주유소 부근),3,7,0,3,4,0,127.0771254,37.55815284
10,1121510900,11215004,서울특별시 광진구4,서울특별시 광진구 군자동(화양사거리 부근),3,3,0,3,0,0,127.0674448,37.54838317
11,1126010200,11260001,서울특별시 중랑구1,서울특별시 중랑구 상봉동(상봉지하차도앞교차로 부근),3,8,0,3,3,2,127.0880035,37.59767038
12,1129013600,11290001,서울특별시 성북구1,서울특별시 성북구 하월곡동(종암로209 부근),3,6,0,4,2,0,127.0306152,37.60845248
13,1129010300,11290002,서울특별시 성북구2,서울특별시 성북구 돈암동(길음환승주차장앞교차 부근),3,7,0,3,3,1,127.0258877,37.60356633
14,1130510200,11305001,서울특별시 강북구1,서울특별시 강북구 번동(수유역앞교차로 부근),3,9,1,3,5,0,127.0263467,37.63835991
15,1132010700,11320001,서울특별시 도봉구1,서울특별시 도봉구 창동(창동변전소 부근),3,4,0,3,1,0,127.0407256,37.65932777
16,1138010400,11380001,서울특별시 은평구1,서울특별시 은평구 갈현동(갈현1동사무소 부근),3,7,0,4,3,0,126.9174313,37.62291022
17,1138011400,11380002,서울특별시 은평구2,서울특별시 은평구 진관동(구파발사거리 부근),3,4,0,4,0,0,126.9168583,37.63823008
18,1138010800,11380003,서울특별시 은평구3,서울특별시 은평구 역촌동(신사오거리 부근),3,10,0,3,7,0,126.9155792,37.59892548
19,1138010200,11380004,서울특별시 은평구4,서울특별시 은평구 녹번동(녹번역삼거리 부근),3,4,0,3,1,0,126.9355,37.60118566
20,1141010900,11410001,서울특별시 서대문구1,서울특별시 서대문구 현저동(독립문역앞교차로 부근),4,10,0,5,4,1,126.9601774,37.57245814
21,1144012000,11440001,서울특별시 마포구1,서울특별시 마포구 서교동(태성빌딩 부근),3,4,0,4,0,0,126.9202557,37.55099708
22,1144012300,11440002,서울특별시 마포구2,서울특별시 마포구 망원동(마포구영등포구 부근),3,9,0,3,6,0,126.8910383,37.55211189
23,1144012100,11440003,서울특별시 마포구3,서울특별시 마포구 동교동(창천동삼거리 부근),3,6,0,3,3,0,126.9313047,37.55699971
24,1147010300,11470001,서울특별시 양천구1,서울특별시 양천구 신월동(화곡동9473 부근),3,4,0,3,1,0,126.8480007,37.52808656
25,1150010300,11500001,서울특별시 강서구1,서울특별시 강서구 화곡동(우장공원입구교차로 부근),3,6,0,4,2,0,126.8507243,37.55333924
26,1150010500,11500002,서울특별시 강서구2,서울특별시 강서구 마곡동(마곡역교차로 부근),3,5,0,3,2,0,126.8268923,37.55969544
27,1150010300,11500003,서울특별시 강서구3,서울특별시 강서구 화곡동(강서구청입구 부근),3,4,0,3,1,0,126.8525153,37.55569257
28,1153010300,11530001,서울특별시 구로구1,서울특별시 구로구 가리봉동(가산동교차로 부근),3,5,1,2,2,0,126.8820807,37.48518517
29,1153010700,11530002,서울특별시 구로구2,서울특별시 구로구 개봉동(개봉1동사거리 부근),3,9,0,6,3,0,126.8461901,37.5021177
30,1153010600,11530003,서울특별시 구로구3,서울특별시 구로구 고척동(개봉사거리 부근),3,9,0,6,2,1,126.8561859,37.49748557
31,1153010800,11530004,서울특별시 구로구4,서울특별시 구로구 오류동(시티월드앞교차로 부근),3,10,0,4,6,0,126.8399199,37.49469175
32,1153010200,11530005,서울특별시 구로구5,서울특별시 구로구 구로동(두산아파트 부근),3,7,0,3,4,0,126.8890727,37.48774533
33,1153010200,11530006,서울특별시 구로구6,서울특별시 구로구 구로동(고대구로병원사거리 부근),3,5,0,3,2,0,126.8829233,37.49276096
34,1153010600,11530007,서울특별시 구로구7,서울특별시 구로구 고척동(구로소방서앞 부근),3,3,0,3,0,0,126.8652297,37.4982556
35,1153010700,11530008,서울특별시 구로구8,서울특별시 구로구 개봉동(오류IC 부근),3,3,0,3,0,0,126.8482547,37.49888424
36,1153010200,11530009,서울특별시 구로구9,서울특별시 구로구 구로동(대륭포스트타워2차 부근),3,3,0,3,0,0,126.8965554,37.48562053
37,1154510300,11545001,서울특별시 금천구1,서울특별시 금천구 시흥동(시흥사거리 부근),3,5,0,3,2,0,126.9006472,37.45481491
38,1154510100,11545002,서울특별시 금천구2,서울특별시 금천구 가산동(월드메르디앙벤처센타 부근),3,3,0,3,0,0,126.8848632,37.47690722
39,1156012300,11560001,서울특별시 영등포구1,서울특별시 영등포구 문래동5가(신정교 부근),3,15,0,5,9,1,126.882507,37.5158334
40,1156013300,11560002,서울특별시 영등포구2,서울특별시 영등포구 대림동(구로디지털단지역앞교 부근),3,5,0,3,2,0,126.9028965,37.4847514
41,1156011300,11560003,서울특별시 영등포구3,서울특별시 영등포구 당산동3가(서림빌딩 부근),3,3,0,3,0,0,126.8969078,37.52618321
42,1156013300,11560004,서울특별시 영등포구4,서울특별시 영등포구 대림동(거리공원오거리 부근),3,3,0,3,0,0,126.8932892,37.49786223
43,1159010100,11590001,서울특별시 동작구1,서울특별시 동작구 노량진동(수산시장입구교차로 부근),3,11,0,5,5,1,126.9467979,37.51344796
44,1159010200,11590002,서울특별시 동작구2,서울특별시 동작구 상도동(신상도초교앞교차로 부근),3,7,0,4,3,0,126.943963,37.49901297
45,1159010700,11590003,서울특별시 동작구3,서울특별시 동작구 사당동(삼원빌딩 부근),3,7,0,3,4,0,126.9824989,37.48873232
46,1159010100,11590004,서울특별시 동작구4,서울특별시 동작구 노량진동(노량진수산시장 부근),3,6,0,3,3,0,126.9384059,37.51593215
47,1162010200,11620001,서울특별시 관악구1,서울특별시 관악구 신림동(난곡사거리 부근),5,18,0,8,10,0,126.9142311,37.48174352
48,1162010100,11620002,서울특별시 관악구2,서울특별시 관악구 봉천동(삼양빌딩 부근),3,4,0,4,0,0,126.9347857,37.48580962
49,1162010200,11620003,서울특별시 관악구3,서울특별시 관악구 신림동(봉림교앞교차로 부근),3,3,0,3,0,0,126.9262047,37.48378527
50,1165010700,11650001,서울특별시 서초구1,서울특별시 서초구 반포동(서래마을입구 부근),4,12,0,5,7,0,126.99826,37.49997716
51,1165010600,11650002,서울특별시 서초구2,서울특별시 서초구 잠원동(신사역사거리 부근),4,10,0,4,5,1,127.019652,37.51611024
52,1165010600,11650003,서울특별시 서초구3,서울특별시 서초구 잠원동(원빌딩 부근),3,7,1,5,1,0,127.0210375,37.51178935
53,1165010200,11650004,서울특별시 서초구4,서울특별시 서초구 양재동(KT연구개발본부앞교차1 부근),3,9,0,6,3,0,127.0319289,37.47091127
54,1165010700,11650005,서울특별시 서초구5,서울특별시 서초구 반포동(반포본동삼거리 부근),3,4,0,4,0,0,126.9862607,37.50100721
55,1165010700,11650006,서울특별시 서초구6,서울특별시 서초구 반포동(필립스전자 부근),3,4,0,3,1,0,126.993972,37.49833642
56,1168010400,11680001,서울특별시 강남구1,서울특별시 강남구 청담동(청담사거리 부근),6,9,0,7,2,0,127.0474393,37.52433218
57,1168010400,11680002,서울특별시 강남구2,서울특별시 강남구 청담동(청담스퀘어 부근),6,10,0,6,4,0,127.0415601,37.52340815
58,1168010100,11680003,서울특별시 강남구3,서울특별시 강남구 역삼동(경복아파트교차로 부근),5,18,0,10,8,0,127.0382562,37.50861303
59,1168010400,11680004,서울특별시 강남구4,서울특별시 강남구 청담동(영동대교남단교차로 부근),5,9,0,7,1,1,127.0544525,37.52489966
60,1168010800,11680005,서울특별시 강남구5,서울특별시 강남구 논현동(교보타워사거리 부근),5,8,0,5,3,0,127.0244777,37.5045924
61,1168010400,11680006,서울특별시 강남구6,서울특별시 강남구 청담동(경기고교앞교차로 부근),4,8,1,5,2,0,127.0569678,37.52058261
62,1168010800,11680007,서울특별시 강남구7,서울특별시 강남구 논현동(한국산업경제연구원 부근),4,12,0,5,7,0,127.0411482,37.51673652
63,1168010400,11680008,서울특별시 강남구8,서울특별시 강남구 청담동(학동사거리 부근),4,5,0,4,1,0,127.0392989,37.52303881
64,1168010100,11680009,서울특별시 강남구9,서울특별시 강남구 역삼동(개나리아파트앞교차로 부근),3,6,0,6,0,0,127.0444284,37.49836151
65,1168010800,11680010,서울특별시 강남구10,서울특별시 강남구 논현동(한국건설기술회관 부근),3,7,0,5,2,0,127.0348249,37.51454853
66,1168010100,11680011,서울특별시 강남구11,서울특별시 강남구 역삼동(르네상스호텔사거리 부근),3,5,0,4,1,0,127.042593,37.50250067
67,1168011100,11680012,서울특별시 강남구12,서울특별시 강남구 세곡동(세곡동12214 부근),3,9,0,3,6,0,127.1081804,37.46541997
68,1168010700,11680013,서울특별시 강남구13,서울특별시 강남구 신사동(성수대교남단교차로 부근),3,8,0,3,5,0,127.0340541,37.52932772
69,1168010100,11680014,서울특별시 강남구14,서울특별시 강남구 역삼동(차병원사거리 부근),3,8,0,3,5,0,127.0341919,37.5071549
70,1168010800,11680015,서울특별시 강남구15,서울특별시 강남구 논현동(거평타운오피스텔 부근),3,9,0,3,4,2,127.029673,37.50605537
71,1168010700,11680016,서울특별시 강남구16,서울특별시 강남구 신사동(도산공원사거리 부근),3,7,0,3,4,0,127.0341034,37.52139599
72,1168010600,11680017,서울특별시 강남구17,서울특별시 강남구 대치동(포스코사거리 부근),3,6,0,3,2,1,127.0561458,37.50651835
73,1168011800,11680018,서울특별시 강남구18,서울특별시 강남구 도곡동(매봉역앞교차로 부근),3,5,0,3,2,0,127.0456317,37.48646819
74,1168010400,11680019,서울특별시 강남구19,서울특별시 강남구 청담동(한양아파트앞교차로 부근),3,4,0,3,1,0,127.0404074,37.52682882
75,1168010500,11680020,서울특별시 강남구20,서울특별시 강남구 삼성동(KTF타워 부근),3,3,0,3,0,0,127.0527558,37.50578448
76,1171010600,11710001,서울특별시 송파구1,서울특별시 송파구 삼전동(배명고교앞교차로 부근),4,9,0,6,3,0,127.096699,37.49765016
77,1171010800,11710002,서울특별시 송파구2,서울특별시 송파구 문정동(문정역앞교차로 부근),4,12,0,5,7,0,127.1223242,37.48619742
78,1171010700,11710003,서울특별시 송파구3,서울특별시 송파구 가락동(가락시장입구교차로 부근),3,6,0,5,1,0,127.1087019,37.49552726
79,1171011100,11710004,서울특별시 송파구4,서울특별시 송파구 방이동(잠실진주아파트앞교차 부근),3,6,0,5,1,0,127.109729,37.51554086
80,1171010700,11710005,서울특별시 송파구5,서울특별시 송파구 가락동(송파경찰서앞교차로 부근),3,6,0,3,3,0,127.1283563,37.50153972
81,1171010200,11710006,서울특별시 송파구6,서울특별시 송파구 신천동(잠실역사거리 부근),3,4,0,3,1,0,127.1002345,37.51352612
82,1174010900,11740001,서울특별시 강동구1,서울특별시 강동구 천호동(천호사거리 부근),3,7,0,3,4,0,127.1236444,37.53866077
83,1174010600,11740002,서울특별시 강동구2,서울특별시 강동구 둔촌동(길동사거리 부근),3,6,0,3,3,0,127.1386109,37.53347965
84,1174010800,11740003,서울특별시 강동구3,서울특별시 강동구 성내동(올림픽공원북2문 부근),3,5,0,3,1,1,127.1284709,37.52407407
