연도,구분,전체,0.03%미만,0.030~0.049%,0.05%~0.09%,0.10%~0.14%,0.15%~0.19%,0.20%~0.24%,0.25%~0.29%,0.30%~0.34%,0.35%이상,측정불응,기타불명,측정불능,해당 없음
2010,발생건수,115719,0,176,1455,2083,1536,599,210,45,8,92,1423,31,108061
2010,사망자수,2509,0,70,37,44,31,30,16,5,1,0,7,4,2264
2010,부상자수,178763,0,282,2663,3695,2827,1001,313,83,11,150,1623,51,166064
2011,발생건수,9980,0,189,1591,2057,1498,596,168,29,13,104,1541,28,2166
2011,사망자수,161891,0,101,47,32,37,24,13,5,3,1,2,3,161623
2011,부상자수,13050,0,312,2910,3745,2629,1088,311,42,24,184,1760,45,0
2012,발생건수,116529,0,0,1643,2130,1507,621,207,48,11,102,110212,48,0
2012,사망자수,2587,0,0,90,48,22,23,10,4,3,1,2383,3,0
2012,부상자수,178640,0,0,3031,3827,2673,1096,352,97,19,164,167306,75,0
2013,발생건수,115069,0,0,1639,1928,1416,644,164,46,11,98,109057,66,0
2013,사망자수,2390,0,0,65,32,43,25,7,7,0,1,2206,4,0
2013,부상자수,175282,0,0,3048,3508,2514,1123,293,82,19,153,164458,84,0
2014,발생건수,122272,0,0,1481,1904,1341,574,162,33,9,76,116643,49,0
2014,사망자수,2316,0,0,62,27,25,13,5,0,2,1,2178,3,0
2014,부상자수,184065,0,0,2879,3294,2356,988,250,52,13,130,174032,71,0
2015,발생건수,129049,0,0,1623,2010,1290,509,149,37,8,62,123277,84,0
2015,사망자수,2252,0,0,72,37,23,23,5,4,0,1,2080,7,0
2015,부상자수,195113,0,0,3015,3584,2349,850,231,60,8,102,184778,136,0
2016,발생건수,125808,0,0,1365,1677,1089,413,142,21,13,60,120924,104,0
2016,사망자수,2135,0,0,53,23,13,12,13,1,0,0,2013,7,0
2016,부상자수,189113,0,0,2423,3082,1959,633,223,47,15,111,180478,142,0
2017,발생건수,125569,136,170,1454,1667,1092,461,140,35,16,74,36944,147,83233
2017,사망자수,2076,6,3,42,18,16,16,2,4,0,0,731,10,1228
2017,부상자수,186946,213,298,2494,2851,1904,775,229,53,27,112,53484,188,124318
2018,발생건수,95604,935,156,1371,1600,1079,478,162,33,16,78,3483,170,86043
2018,사망자수,1918,11,2,51,17,12,9,8,3,2,0,664,5,1134
2018,부상자수,189256,1360,255,2345,2774,1878,790,267,57,29,129,50627,237,128508
2019,발생건수,138533,136,214,903,1501,873,343,108,36,14,93,38154,257,95901
2019,사망자수,1750,11,4,30,21,11,11,3,0,1,0,651,8,999
2019,부상자수,207026,233,374,1524,2475,1448,552,190,57,19,153,55593,361,144047
2020,발생건수,126396,28,365,708,1737,847,354,81,20,5,99,7813,42,114297
2020,사망자수,1618,0,8,12,19,4,14,5,1,1,0,144,3,1407
2020,부상자수,184253,43,569,1152,2844,1398,555,121,27,5,157,10368,58,166956
2021,발생건수,126672,2,307,610,1331,672,305,104,27,6,85,2423,5,120795
2021,사망자수,1606,0,6,12,10,5,4,2,0,0,1,80,2,1484
2021,부상자수,182619,2,485,937,2122,1105,481,169,45,10,134,2692,19,174418
