성별,특성구분,특성별,2010응답자수 (명),2010분율 (%),2010표준오차,2011응답자수 (명),2011분율 (%),2011표준오차,2012응답자수 (명),2012분율 (%),2012표준오차,2013응답자수 (명),2013분율 (%),2013표준오차,2014응답자수 (명),2014분율 (%),2014표준오차,2015응답자수 (명),2015분율 (%),2015표준오차,2016응답자수 (명),2016분율 (%),2016표준오차,2017응답자수 (명),2017분율 (%),2017표준오차,2018응답자수 (명),2018분율 (%),2018표준오차,2019응답자수 (명),2019분율 (%),2019표준오차,2020응답자수 (명),2020분율 (%),2020표준오차,2021응답자수 (명),2021분율 (%),2021표준오차
남자,전체,19세이상,2704,21.6,1.2,2561,22,1.2,2309,18.6,1.2,2256,16,0.9,2152,15.7,1,2354,16.3,1,2593,11.7,0.7,2718,10.7,0.7,2714,10.5,0.7,2743,7.6,0.6,2627,5.6,0.5,2483,4.6,0.6
남자,전체,19세이상(표준화),2704,21.4,1.2,2561,22,1.3,2309,18.4,1.2,2256,16.2,0.9,2152,15.9,1.1,2354,16.5,1.1,2593,11.7,0.7,2718,10.3,0.7,2714,10.1,0.7,2743,7.2,0.6,2627,5.3,0.5,2483,4.1,0.5
남자,연령별1,19-29세,307,23.2,3.1,288,21.5,3.2,253,19.5,2.7,312,15.6,2.2,239,13.5,2.4,335,16.1,2.5,304,12.5,2.1,344,10,1.9,359,8.9,1.6,388,7.4,1.4,398,2.9,0.9,325,2.5,0.9
남자,연령별1,30-39세,527,22.2,2.5,444,24.2,2.5,389,19.5,2.2,386,18.7,2,378,18.6,2.5,299,20.6,2.5,457,12.1,1.4,405,6.8,1.3,416,7.1,1.3,424,5.1,1.1,338,2.5,0.8,284,3.7,1.3
남자,연령별1,40-49세,532,21.8,2.2,452,23.3,2.2,401,15.2,2.3,446,17.6,2,365,18.9,2.4,397,14.8,2.2,500,11,1.5,496,11.4,1.8,477,11.7,1.5,483,6,1.1,419,8.4,1.3,435,3.2,0.8
남자,연령별1,50-59세,481,26.5,2.9,508,24.5,2.1,434,24.1,2.6,416,17,2,400,16.5,2.1,485,18.8,1.9,451,12.9,1.6,541,13.9,1.8,499,13.3,1.8,477,9.6,1.5,481,7.8,1.2,422,5.8,1.2
남자,연령별1,60-69세,473,18.4,2.3,461,20.3,2.5,432,19.3,2.4,379,13,1.7,405,13.7,2,460,11.2,1.6,442,11.6,1.5,470,11.7,1.7,499,13,2,486,10.4,1.6,483,5.5,1,480,7.4,1.6
남자,연령별1,70세이상,384,6.1,1.6,408,10,1.8,400,8.7,1.8,317,8,1.6,365,7.3,1.3,378,11.9,2.3,439,8.3,1.6,462,10,2,464,8,1.6,485,8.2,1.3,508,6.7,1.2,537,5.4,1.3
남자,연령별2,19-64세,2091,22.9,1.3,1940,23.1,1.4,1708,19.7,1.4,1751,16.9,1,1569,16.6,1.2,1743,17.1,1.1,1920,12.1,0.8,2032,10.7,0.8,2036,10.6,0.7,2033,7.5,0.6,1913,5.7,0.5,1721,4.3,0.6
남자,연령별2,65세이상,613,11.3,1.8,621,14.1,1.7,601,10.7,1.4,505,10.3,1.5,583,9.8,1.3,611,10.9,1.6,673,9.2,1.2,686,10.5,1.5,678,9.7,1.5,710,8.7,1.2,714,5.4,0.9,762,5.7,1.2
