성별,특성구분,특성별,2010응답자수 (명),2010분율 (%),2010표준오차,2011응답자수 (명),2011분율 (%),2011표준오차,2012응답자수 (명),2012분율 (%),2012표준오차,2013응답자수 (명),2013분율 (%),2013표준오차,2014응답자수 (명),2014분율 (%),2014표준오차,2015응답자수 (명),2015분율 (%),2015표준오차,2016응답자수 (명),2016분율 (%),2016표준오차,2017응답자수 (명),2017분율 (%),2017표준오차,2018응답자수 (명),2018분율 (%),2018표준오차,2019응답자수 (명),2019분율 (%),2019표준오차,2020응답자수 (명),2020분율 (%),2020표준오차,2021응답자수 (명),2021분율 (%),2021표준오차
남자,전체,19세이상,2704,21.6,1.2,2561,22.0,1.2,2309,18.6,1.2,2256,16.0,0.9,2152,15.7,1.0,2354,16.3,1.0,2593,11.7,0.7,2718,10.7,0.7,2714,10.5,0.7,2743,7.6,0.6,2627,5.6,0.5,2483,4.6,0.6
남자,전체,19세이상(표준화),2704,21.4,1.2,2561,22.0,1.3,2309,18.4,1.2,2256,16.2,0.9,2152,15.9,1.1,2354,16.5,1.1,2593,11.7,0.7,2718,10.3,0.7,2714,10.1,0.7,2743,7.2,0.6,2627,5.3,0.5,2483,4.1,0.5
남자,연령별1,19-29세,307,23.2,3.1,288,21.5,3.2,253,19.5,2.7,312,15.6,2.2,239,13.5,2.4,335,16.1,2.5,304,12.5,2.1,344,10.0,1.9,359,8.9,1.6,388,7.4,1.4,398,2.9,0.9,325,2.5,0.9
남자,연령별1,30-39세,527,22.2,2.5,444,24.2,2.5,389,19.5,2.2,386,18.7,2.0,378,18.6,2.5,299,20.6,2.5,457,12.1,1.4,405,6.8,1.3,416,7.1,1.3,424,5.1,1.1,338,2.5,0.8,284,3.7,1.3
남자,연령별1,40-49세,532,21.8,2.2,452,23.3,2.2,401,15.2,2.3,446,17.6,2.0,365,18.9,2.4,397,14.8,2.2,500,11.0,1.5,496,11.4,1.8,477,11.7,1.5,483,6.0,1.1,419,8.4,1.3,435,3.2,0.8
남자,연령별1,50-59세,481,26.5,2.9,508,24.5,2.1,434,24.1,2.6,416,17.0,2.0,400,16.5,2.1,485,18.8,1.9,451,12.9,1.6,541,13.9,1.8,499,13.3,1.8,477,9.6,1.5,481,7.8,1.2,422,5.8,1.2
남자,연령별1,60-69세,473,18.4,2.3,461,20.3,2.5,432,19.3,2.4,379,13.0,1.7,405,13.7,2.0,460,11.2,1.6,442,11.6,1.5,470,11.7,1.7,499,13.0,2.0,486,10.4,1.6,483,5.5,1.0,480,7.4,1.6
남자,연령별1,70세이상,384,6.1,1.6,408,10.0,1.8,400,8.7,1.8,317,8.0,1.6,365,7.3,1.3,378,11.9,2.3,439,8.3,1.6,462,10.0,2.0,464,8.0,1.6,485,8.2,1.3,508,6.7,1.2,537,5.4,1.3
남자,연령별2,19-64세,2091,22.9,1.3,1940,23.1,1.4,1708,19.7,1.4,1751,16.9,1.0,1569,16.6,1.2,1743,17.1,1.1,1920,12.1,0.8,2032,10.7,0.8,2036,10.6,0.7,2033,7.5,0.6,1913,5.7,0.5,1721,4.3,0.6
남자,연령별2,65세이상,613,11.3,1.8,621,14.1,1.7,601,10.7,1.4,505,10.3,1.5,583,9.8,1.3,611,10.9,1.6,673,9.2,1.2,686,10.5,1.5,678,9.7,1.5,710,8.7,1.2,714,5.4,0.9,762,5.7,1.2
남자,거주지역별,동,2109,19.6,1.3,2033,19.6,1.4,1826,15.6,1.1,1804,14.9,1.0,1717,13.7,1.1,1879,14.7,1.1,2088,10.6,0.7,2211,9.1,0.8,2209,9.1,0.7,2179,6.1,0.5,2082,4.8,0.5,1921,3.3,0.5
남자,거주지역별,읍면,595,29.0,2.8,528,32.5,2.4,483,31.0,3.5,452,20.8,1.5,435,25.7,2.9,475,23.6,2.5,505,18.1,2.1,507,19.6,2.2,505,19.0,2.4,564,15.2,2.1,545,10.3,1.6,562,11.0,2.1
남자,소득수준별,하,521,18.4,1.7,509,19.5,2.4,444,17.4,2.3,443,15.6,2.0,418,14.3,2.3,461,16.9,1.9,522,12.4,1.6,537,10.7,1.7,539,11.8,1.9,552,7.0,1.3,517,5.3,1.1,500,4.0,1.0
남자,소득수준별,중하,533,17.9,2.3,503,23.6,2.6,452,17.0,2.6,448,16.1,1.9,433,16.8,2.2,460,13.4,1.8,518,10.0,1.5,534,9.8,1.3,541,10.9,1.6,542,8.5,1.3,525,5.8,1.1,493,4.7,1.3
남자,소득수준별,중,572,21.7,1.9,506,22.0,2.3,448,18.1,2.3,446,17.4,2.0,431,16.0,2.3,469,17.7,2.4,507,10.2,1.4,544,9.0,1.3,549,10.9,1.4,538,8.7,1.4,522,6.0,1.2,486,3.1,0.8
남자,소득수준별,중상,512,25.3,2.5,504,19.3,2.5,462,19.0,2.5,444,13.9,1.9,433,14.1,1.8,470,16.5,2.1,515,10.2,1.4,547,13.5,1.6,538,9.8,1.4,547,5.0,0.9,525,5.2,1.0,496,5.9,1.0
남자,소득수준별,상,537,26.0,3.0,517,26.9,3.0,476,22.6,2.5,461,16.6,2.1,434,17.5,2.3,479,16.9,2.0,522,15.6,1.8,549,10.5,1.6,538,8.4,1.4,552,9.1,1.4,532,6.0,1.1,497,5.1,1.1
남자,거주지역(표준화)별,동,2109,19.3,1.3,2033,19.5,1.4,1826,15.3,1.1,1804,15.1,1.0,1717,13.8,1.2,1879,14.9,1.1,2088,10.6,0.7,2211,8.9,0.8,2209,9.0,0.7,2179,5.9,0.5,2082,4.5,0.5,1921,3.1,0.5
남자,거주지역(표준화)별,읍면,595,28.1,2.8,528,31.7,3.2,483,32.1,4.1,452,20.8,1.8,435,27.4,3.8,475,23.9,3.5,505,18.6,2.5,507,17.5,2.2,505,16.3,2.2,564,13.4,2.0,545,9.0,1.6,562,8.3,2.0
남자,소득수준(표준화)별,하,521,18.2,1.7,509,19.1,2.3,444,17.3,2.3,443,15.2,2.0,418,14.6,2.4,461,16.7,2.1,522,12.3,1.6,537,10.4,1.7,539,10.9,1.8,552,6.3,1.2,517,4.6,1.0,500,3.6,1.1
남자,소득수준(표준화)별,중하,533,17.2,2.2,503,24.2,2.6,452,16.9,2.6,448,16.3,1.9,433,16.3,2.2,460,12.9,1.9,518,9.6,1.5,534,9.7,1.4,541,10.8,1.6,542,8.3,1.4,525,5.2,1.1,493,4.0,1.1
남자,소득수준(표준화)별,중,572,21.6,1.9,506,21.9,2.3,448,18.1,2.3,446,18.0,2.1,431,16.3,2.4,469,18.4,2.5,507,10.3,1.4,544,8.3,1.2,549,10.8,1.4,538,8.5,1.5,522,5.8,1.2,486,2.8,0.8
남자,소득수준(표준화)별,중상,512,25.5,2.5,504,19.0,2.5,462,18.1,2.4,444,13.9,2.0,433,13.7,1.8,470,17.2,2.2,515,10.3,1.5,547,13.3,1.7,538,9.4,1.3,547,4.6,0.9,525,5.4,1.1,496,5.2,1.0
남자,소득수준(표준화)별,상,537,26.1,3.0,517,27.1,3.0,476,22.7,2.6,461,16.9,2.1,434,17.8,2.4,479,16.8,2.1,522,16.0,1.9,549,9.9,1.5,538,7.9,1.5,552,8.3,1.3,532,5.5,1.0,497,5.0,1.2
여자,전체,19세이상,3553,12.9,0.8,3466,12.9,0.8,3282,11.9,0.8,3086,12.4,0.7,3041,10.6,0.7,3057,11.5,0.8,3423,9.2,0.6,3396,7.6,0.6,3472,7.3,0.5,3447,4.2,0.4,3231,3.5,0.4,3152,3.1,0.3
여자,전체,19세이상(표준화),3553,13.7,0.8,3466,14.0,0.9,3282,13.0,0.9,3086,14.0,0.8,3041,11.8,0.8,3057,12.7,0.9,3423,10.3,0.7,3396,8.8,0.7,3472,8.1,0.6,3447,4.6,0.5,3231,4.0,0.5,3152,3.5,0.4
여자,연령별1,19-29세,464,20.4,2.6,390,19.4,2.1,384,18.4,2.3,389,19.9,2.2,355,18.5,2.5,347,19.9,2.5,391,16.8,2.1,380,15.8,2.5,403,11.3,1.9,361,7.3,1.5,400,4.6,1.1,348,3.9,1.0
여자,연령별1,30-39세,727,17.2,1.7,654,18.8,1.8,571,16.3,2.1,552,19.1,2.2,526,14.3,1.6,446,12.8,1.6,621,10.0,1.2,499,8.7,1.5,493,8.2,1.3,492,3.1,0.8,428,5.1,1.3,362,3.7,1.1
여자,연령별1,40-49세,630,12.7,1.7,604,14.2,1.7,557,13.1,1.7,594,14.5,1.5,536,11.6,1.4,554,12.7,1.5,624,10.7,1.5,626,7.8,1.2,652,9.0,1.2,624,6.1,1.1,546,4.4,0.9,520,4.5,1.0
여자,연령별1,50-59세,693,12.6,1.4,676,9.8,1.4,633,10.3,1.7,598,8.7,1.3,595,8.0,1.3,646,10.8,1.4,641,8.4,1.3,663,6.1,1.0,687,7.5,1.2,690,3.0,0.7,579,3.6,0.9,605,2.8,0.8
여자,연령별1,60-69세,554,2.6,0.6,563,4.5,0.9,572,4.7,1.3,471,3.9,0.9,514,3.6,0.8,532,6.2,1.3,558,4.2,0.9,619,4.0,1.0,602,3.7,0.8,625,3.7,0.9,630,1.8,0.6,629,2.1,0.7
여자,연령별1,70세이상,485,2.3,1.2,579,2.9,1.2,565,1.7,0.7,482,1.3,0.7,515,2.0,0.7,532,2.3,0.7,588,1.6,0.5,609,1.9,0.6,635,2.3,0.6,655,1.6,0.5,648,1.0,0.4,688,1.4,0.5
여자,연령별2,19-64세,2792,14.8,0.9,2622,14.8,0.9,2453,13.8,1.0,2387,14.6,0.8,2282,12.3,0.8,2280,13.4,0.9,2570,10.7,0.8,2496,8.9,0.7,2561,8.5,0.7,2505,4.7,0.5,2304,4.1,0.5,2154,3.6,0.4
여자,연령별2,65세이상,761,2.4,0.8,844,3.4,1.1,829,2.5,0.8,699,1.8,0.6,759,2.2,0.6,777,3.0,0.7,853,2.5,0.5,900,2.3,0.6,911,2.4,0.5,942,2.2,0.5,927,1.1,0.4,998,1.2,0.4
여자,거주지역별,동,2782,12.1,0.9,2779,11.7,0.8,2640,11.7,0.9,2507,12.0,0.7,2478,9.6,0.7,2488,10.7,0.9,2765,8.9,0.7,2780,7.1,0.6,2854,6.8,0.6,2781,3.8,0.4,2579,3.4,0.4,2454,3.0,0.4
여자,거주지역별,읍면,771,15.6,1.5,687,18.0,2.1,642,12.8,2.0,579,14.6,2.2,563,15.9,2.1,569,16.0,1.5,658,10.7,1.6,616,10.8,2.0,618,10.2,1.0,666,6.4,1.3,652,3.9,1.0,698,3.9,0.9
여자,소득수준별,하,694,11.8,1.4,695,13.4,1.7,635,13.2,1.8,594,9.1,1.5,591,9.4,1.7,586,11.1,1.5,671,7.5,1.2,673,7.5,1.3,696,8.3,1.5,684,4.2,0.9,632,2.6,0.6,626,2.5,0.7
여자,소득수준별,중하,715,11.2,1.6,682,12.5,1.4,664,11.1,1.7,605,11.1,1.5,603,10.3,1.5,618,10.2,1.5,683,9.4,1.4,681,5.9,1.6,696,6.7,1.1,680,4.2,1.0,637,3.0,1.0,615,1.9,0.5
여자,소득수준별,중,699,15.0,1.9,684,12.0,1.6,639,8.6,1.4,634,14.2,1.7,606,10.3,1.4,613,12.1,1.6,694,10.1,1.4,678,9.5,1.5,693,7.3,1.2,686,4.8,1.1,650,4.0,1.0,637,3.3,0.9
여자,소득수준별,중상,702,12.0,1.6,689,15.6,2.1,648,13.5,1.8,620,12.7,1.5,620,10.4,1.3,614,12.0,1.6,688,9.0,1.5,680,8.3,1.3,684,6.4,1.0,696,4.1,0.8,651,3.8,1.0,628,3.8,0.9
여자,소득수준별,상,692,14.7,1.7,690,11.5,1.5,658,13.3,1.7,619,14.9,1.6,605,12.4,1.6,610,12.4,1.4,677,9.6,1.5,671,7.0,1.0,693,7.9,1.3,686,4.0,0.8,647,4.0,0.9,630,4.1,0.9
여자,거주지역(표준화)별,동,2782,12.4,0.9,2779,12.3,0.8,2640,12.4,1.0,2507,13.1,0.8,2478,10.5,0.8,2488,11.5,1.0,2765,9.8,0.8,2780,8.2,0.7,2854,7.6,0.7,2781,4.1,0.5,2579,3.9,0.5,2454,3.3,0.4
여자,거주지역(표준화)별,읍면,771,19.9,2.2,687,23.4,2.8,642,15.6,2.4,579,18.7,2.8,563,20.8,2.6,569,19.8,1.9,658,13.5,2.0,616,12.3,3.0,618,12.9,2.0,666,8.0,2.2,652,4.9,1.2,698,4.0,0.9
여자,소득수준(표준화)별,하,694,12.3,1.4,695,14.9,1.9,635,14.3,1.9,594,10.4,1.7,591,9.9,1.6,586,12.2,1.7,671,8.1,1.4,673,8.4,1.5,696,9.2,1.6,684,4.5,1.1,632,3.1,0.8,626,2.5,0.7
여자,소득수준(표준화)별,중하,715,11.7,1.7,682,14.0,1.6,664,12.4,2.0,605,12.3,1.7,603,11.3,1.7,618,11.4,1.7,683,10.8,1.7,681,7.3,2.1,696,7.5,1.4,680,4.4,1.2,637,3.7,1.3,615,2.1,0.7
여자,소득수준(표준화)별,중,699,16.9,2.1,684,12.8,1.7,639,9.4,1.5,634,15.6,1.8,606,12.3,1.7,613,13.1,1.8,694,11.2,1.5,678,10.6,1.7,693,8.0,1.4,686,6.3,1.4,650,4.4,1.2,637,3.8,1.2
